,Skew_LRT
PSMB1,111.9176580143098
EIF4E,43.83225052070161
INTS1,3.4351359305906213
LYRM4,7.86933217593014
TRRAP,15.627885731574024
SRP54,26.339301330413093
RPS24,58.06791305473686
GNL3,1.6030021709784137
DUT,340.62483398020123
PRELID1,370.75360545904414
DDX10,50.09972697882756
RPL35A,87.48727396640079
PES1,10.668479337543204
HUWE1,6.406555370750596
PGD,-42.56635254573621
RFC3,39.23732500501114
YARS2,30.05946880168983
ALAS1,343.5952744187281
PELP1,93.07023451816548
INTS5,2.4679934310568754
CENPM,13.393410977853137
TELO2,4.660804871907146
RPL7,38.96668066309709
KIF11,447.5807572819955
RPS20,577.2744558711917
LARS2,99.72679563616052
DNM2,74.83236119837125
PPCS,191.1179479767005
ORC6,-117.78478280671312
FBL,134.54204355288942
DPH3,33.38609364598847
MRPS21,-10.91724131823844
GART,234.45865719118515
CAMLG,25.79469200187713
DIS3,6.362840302124539
SEPHS2,222.8229719658325
CCDC84,
GPN1,144.18693549270375
VPS13D,15.146724085574988
NUP155,12.43099891013346
HSCB,-113.03775501841812
SNRPD3,
NEDD8,5.866454361063006
EIF2B5,59.90194805135843
GFM1,46.88150066223344
NDUFV1,73.31990746576929
NUDT21,117.57402306572868
POLR3K,232.9688779996303
CLP1,112.36574914639782
CAPZB,19.963982825423383
PSMD12,19.331450138000505
DDX54,9.259724069605769
CCT7,72.66091215049317
ARPC4,20.76074661725601
EIF3B,121.6338355418666
PSMA5,211.78478861375305
TARS2,0.9518728683085412
PSMA7,197.80702996843857
RPS19,568.2065121755039
TACC3,72.61479574615461
KARS,
RRP9,26.616428294691502
RPS6,390.088157733085
BUB1B,11.998046596416884
IRF4,1469.3820324041262
SBDS,247.5249100415673
TICRR,-10.259086694091422
EIF4G1,0.7270502173320779
IPPK,247.2903292546044
GNB2L1,
EIF3I,42.38221329172627
DHX15,4.344268863944507
COPA,110.8638872749194
BTF3,0.3791448266753718
KPNB1,219.3216509721192
CTC1,46.89249751027863
CLTC,51.34142721420233
ECD,138.23868062838568
LUC7L2,77.7843760405488
LIPT1,148.18120984049176
EIF3CL,
EIF3E,13.396818761657611
ATP6V1A,100.28844617916776
RPS27,507.7956066720285
RPL27,174.97362298513622
DHFR,9.306815624048568
DCTN5,7.825838524570713
POP7,73.11779634351609
XPO5,12.855709743211818
PSMA6,255.32194012745967
PAFAH1B1,553.6463051707004
CCT3,29.239705145205505
G6PD,104.21615524479748
RUVBL2,100.88159921380816
MECR,112.11298872322004
PRPF19,123.18922447530994
DAD1,385.7190161705148
PSMC6,82.28094469035622
PPP4C,50.11119091583964
METTL3,-16.177470961374127
TERF2,136.36581497500447
EIF2S3,30.88586334612416
GLRX5,107.10044073635424
RTCB,1.4003205297906334
PSMD6,17.312064544438215
AARS,
NXF1,79.48190350653437
ABCF1,56.04488351205336
NOP16,44.33972875804187
VPRBP,
TOMM40,20.261707241688875
BATF,412.6702827781751
NLE1,-117.43400307196627
PGS1,2.304944762808958
C10orf2,
COPG1,88.83101506440016
MARS,
HAUS7,-136.5181780030889
POLE2,117.04629545905436
LDLR,89.07382141983771
QRSL1,35.67155118667037
DHX33,24.597029429842564
WEE1,394.6981190415381
VCP,254.04872420769945
SMC5,-28.67977050466658
TAF7,4.818030711249892
RABGGTA,67.65927082370985
NDUFS1,170.8643932702725
MTG1,185.7388175973083
PMF1-BGLAP,
RPA3,79.22435637175133
CDC45,586.6582099971636
GEMIN8,5.10222548264403
RRM1,723.3525866479614
RBX1,64.19036049092364
GTF2B,55.46644036408014
WASH1,
FAM50A,275.88966819308746
C14orf80,
ETF1,97.88720651518162
LIPT2,67.06135090240309
